python main.py
$ python main.py
--- Running on DEVICE: cuda ---

======================================
 FOLD 1/8: Testing on Subject 1
======================================
Epoch 20 | Train Acc: 0.9924 | Test Acc: 0.7728 | Test F1: 0.7364                                                                                                              
Epoch 21 | Train Acc: 0.9942 | Test Acc: 0.7579 | Test F1: 0.7059                                                                                                              
Epoch 22 | Train Acc: 0.9956 | Test Acc: 0.7412 | Test F1: 0.6822                                                                                                              
Epoch 23 | Train Acc: 0.9960 | Test Acc: 0.7632 | Test F1: 0.7193                                                                                                              
Epoch 24 | Train Acc: 0.9959 | Test Acc: 0.7526 | Test F1: 0.7006                                                                                                              
Epoch 25 | Train Acc: 0.9965 | Test Acc: 0.7535 | Test F1: 0.7047                                                                                                              
Epoch 26 | Train Acc: 0.9964 | Test Acc: 0.7667 | Test F1: 0.7172                                                                                                              
Epoch 27 | Train Acc: 0.9965 | Test Acc: 0.7596 | Test F1: 0.7115                                                                                                              
Epoch 28 | Train Acc: 0.9947 | Test Acc: 0.7553 | Test F1: 0.7089                                                                                                              
Epoch 29 | Train Acc: 0.9957 | Test Acc: 0.7719 | Test F1: 0.7289                                                                                                              
Epoch 30 | Train Acc: 0.9956 | Test Acc: 0.7684 | Test F1: 0.7254                                                                                                              
Epoch 31 | Train Acc: 0.9942 | Test Acc: 0.7816 | Test F1: 0.7401                                                                                                              
Epoch 32 | Train Acc: 0.9964 | Test Acc: 0.7772 | Test F1: 0.7397                                                                                                              
Epoch 33 | Train Acc: 0.9947 | Test Acc: 0.7798 | Test F1: 0.7586                                                                                                              
Epoch 34 | Train Acc: 0.9980 | Test Acc: 0.7851 | Test F1: 0.7413                                                                                                              
Epoch 35 | Train Acc: 0.9961 | Test Acc: 0.7912 | Test F1: 0.7471                                                                                                              
Epoch 36 | Train Acc: 0.9969 | Test Acc: 0.7833 | Test F1: 0.7384                                                                                                              
Epoch 37 | Train Acc: 0.9976 | Test Acc: 0.7877 | Test F1: 0.7438                                                                                                              
Epoch 38 | Train Acc: 0.9981 | Test Acc: 0.8018 | Test F1: 0.7629                                                                                                              
Epoch 39 | Train Acc: 0.9984 | Test Acc: 0.7947 | Test F1: 0.7477                                                                                                              
Epoch 40 | Train Acc: 0.9989 | Test Acc: 0.7746 | Test F1: 0.7484                                                                                                              
-> Best for Subject 2: Acc = 0.8351, F1 = 0.8137

======================================
 FOLD 3/8: Testing on Subject 3
======================================
Epoch 01 | Train Acc: 0.5668 | Test Acc: 0.5956 | Test F1: 0.5533                                                                                                              
Epoch 02 | Train Acc: 0.8835 | Test Acc: 0.7263 | Test F1: 0.6956                                                                                                              
Epoch 03 | Train Acc: 0.9519 | Test Acc: 0.8193 | Test F1: 0.8079                                                                                                              
Epoch 04 | Train Acc: 0.9713 | Test Acc: 0.7632 | Test F1: 0.7386                                                                                                              
Epoch 05 | Train Acc: 0.9781 | Test Acc: 0.7930 | Test F1: 0.7578                                                                                                              
Epoch 06 | Train Acc: 0.9876 | Test Acc: 0.8167 | Test F1: 0.7989                                                                                                              
Epoch 07 | Train Acc: 0.9812 | Test Acc: 0.8430 | Test F1: 0.8233                                                                                                              
Epoch 08 | Train Acc: 0.9866 | Test Acc: 0.8711 | Test F1: 0.8610                                                                                                              
Epoch 09 | Train Acc: 0.9909 | Test Acc: 0.8404 | Test F1: 0.8197                                                                                                              
Epoch 10 | Train Acc: 0.9896 | Test Acc: 0.8070 | Test F1: 0.7841                                                                                                              
Epoch 11 | Train Acc: 0.9912 | Test Acc: 0.8289 | Test F1: 0.8150                                                                                                              
Epoch 12 | Train Acc: 0.9927 | Test Acc: 0.8219 | Test F1: 0.8071                                                                                                              
Epoch 13 | Train Acc: 0.9907 | Test Acc: 0.8123 | Test F1: 0.7786                                                                                                              
Epoch 14 | Train Acc: 0.9905 | Test Acc: 0.7974 | Test F1: 0.7806                                                                                                              
Epoch 15 | Train Acc: 0.9927 | Test Acc: 0.8333 | Test F1: 0.8204                                                                                                              
Epoch 16 | Train Acc: 0.9939 | Test Acc: 0.8447 | Test F1: 0.8348                                                                                                              
Epoch 17 | Train Acc: 0.9941 | Test Acc: 0.8105 | Test F1: 0.7857                                                                                                              
Epoch 18 | Train Acc: 0.9907 | Test Acc: 0.8412 | Test F1: 0.8156                                                                                                              
Epoch 19 | Train Acc: 0.9926 | Test Acc: 0.8053 | Test F1: 0.7659                                                                                                              
Epoch 20 | Train Acc: 0.9944 | Test Acc: 0.8588 | Test F1: 0.8371                                                                                                              
Epoch 21 | Train Acc: 0.9957 | Test Acc: 0.8588 | Test F1: 0.8449                                                                                                              
Epoch 22 | Train Acc: 0.9937 | Test Acc: 0.7614 | Test F1: 0.7312                                                                                                              
Epoch 23 | Train Acc: 0.9940 | Test Acc: 0.8825 | Test F1: 0.8674                                                                                                              
Epoch 24 | Train Acc: 0.9940 | Test Acc: 0.8579 | Test F1: 0.8398                                                                                                              
Epoch 25 | Train Acc: 0.9937 | Test Acc: 0.8465 | Test F1: 0.8315                                                                                                              
Epoch 26 | Train Acc: 0.9949 | Test Acc: 0.8711 | Test F1: 0.8634                                                                                                              
Epoch 27 | Train Acc: 0.9962 | Test Acc: 0.8439 | Test F1: 0.8300                                                                                                              
Epoch 28 | Train Acc: 0.9964 | Test Acc: 0.8754 | Test F1: 0.8649                                                                                                              
Epoch 29 | Train Acc: 0.9952 | Test Acc: 0.8544 | Test F1: 0.8321                                                                                                              
Epoch 30 | Train Acc: 0.9954 | Test Acc: 0.8842 | Test F1: 0.8769                                                                                                              
Epoch 31 | Train Acc: 0.9835 | Test Acc: 0.8754 | Test F1: 0.8634                                                                                                              
Epoch 32 | Train Acc: 0.9929 | Test Acc: 0.8544 | Test F1: 0.8386                                                                                                              
Epoch 33 | Train Acc: 0.9955 | Test Acc: 0.8605 | Test F1: 0.8441                                                                                                              
Epoch 34 | Train Acc: 0.9956 | Test Acc: 0.8632 | Test F1: 0.8513                                                                                                              
Epoch 35 | Train Acc: 0.9914 | Test Acc: 0.8728 | Test F1: 0.8589                                                                                                              
Epoch 36 | Train Acc: 0.9952 | Test Acc: 0.8921 | Test F1: 0.8829                                                                                                              
Epoch 37 | Train Acc: 0.9960 | Test Acc: 0.8781 | Test F1: 0.8668                                                                                                              
Epoch 38 | Train Acc: 0.9956 | Test Acc: 0.8789 | Test F1: 0.8611                                                                                                              
